"","Generi","Anni","Valutazionemondo","Valutazioneitalia","q"
"1904","Fantasy",1994,501,377,27
"1905","Fiabesco",1994,2328,957,1
"1906","Giallo",1994,1716,1481,8
"1907","Guerra",1994,2200,2100,5
"1908","Horror",1994,381,432,11
"1909","Musicale",1994,1190,348,6
"1910","Noir",1994,2329,2352,1
"1911","Poliziesco",1994,2037,1388,8
"1912","Religioso",1994,2033,2353,1
"1913","Sentimentale",1994,98,257,20
"1914","Storico",1994,1659,372,7
"1915","Thriller",1994,187,502,53
"1916","Western",1994,913,713,6
"1917","Animazione",1995,178,550,17
"1918","Arti-marziali",1995,586,677,4
"1919","Avventura",1995,326,379,37
"1920","Azione",1995,300,655,42
"1921","Biografico",1995,2431,843,5
"1922","Comico",1995,353,671,13
"1923","Commedia",1995,834,581,144
"1924","Cortometraggio",1995,1913,2354,1
"1925","Documentario",1995,1800,1655,25
"1926","Drammatico",1995,509,607,175
"1927","Erotico",1995,2442,657,2
"1928","Family",1995,606,511,10
"1929","Fantascienza",1995,387,656,10
"1930","Fantastico",1995,2240,447,1
"1931","Fantasy",1995,445,443,28
"1932","Favola",1995,1689,902,3
"1933","Fiabesco",1995,2379,2355,1
"1934","Giallo",1995,987,1188,13
"1935","Grottesco",1995,2480,2356,1
"1936","Guerra",1995,1255,1999,2
"1937","Horror",1995,799,846,14
"1938","Musicale",1995,2011,1476,3
"1939","Noir",1995,628,720,4
"1940","Opera drammatica",1995,1962,2108,1
"1941","Poliziesco",1995,174,491,11
"1942","Sentimentale",1995,352,872,16
"1943","Storico",1995,59,278,7
"1944","Thriller",1995,290,765,78
"1945","Western",1995,566,621,8
"1946","Animazione",1996,274,585,26
"1947","Avventura",1996,743,554,19
"1948","Azione",1996,518,697,42
"1949","Biografico",1996,703,859,7
"1950","Cofanetto",1996,1968,2357,1
"1951","Comico",1996,634,663,18
"1952","Commedia",1996,754,721,173
"1953","Commedia drammatica",1996,1154,2358,1
"1954","Documentario",1996,934,1307,27
"1955","Drammatico",1996,757,710,211
"1956","Erotico",1996,2280,393,1
"1957","Family",1996,83,224,1
"1958","Fantascienza",1996,231,764,12
"1959","Fantastico",1996,900,146,1
"1960","Fantasy",1996,164,445,20
"1961","Favola",1996,841,647,1
"1962","Giallo",1996,562,773,8
"1963","Guerra",1996,2059,1704,1
"1964","Horror",1996,217,620,10
"1965","Musicale",1996,659,614,14
"1966","Muto",1996,2445,915,1
"1967","Noir",1996,1129,1767,2
"1968","Poliziesco",1996,360,565,10
"1969","Psicologico",1996,1353,1827,1
"1970","Sentimentale",1996,758,567,23
"1971","Sportivo",1996,1711,2540,1
"1972","Storico",1996,1276,1207,4
"1973","Thriller",1996,600,695,62
"1974","Western",1996,1447,517,2
"1975","Animazione",1997,279,318,14
"1976","Arti-marziali",1997,1631,380,2
"1977","Avventura",1997,487,436,24
"1978","Azione",1997,189,587,47
"1979","Biografico",1997,1244,609,11
"1980","Comico",1997,787,650,17
"1981","Commedia",1997,539,562,174
"1982","Documentario",1997,371,1803,48
"1983","Drammatico",1997,473,498,257
"1984","Family",1997,1330,796,7
"1985","Fantascienza",1997,79,408,13
"1986","Fantasy",1997,146,331,25
"1987","Favola",1997,1228,248,3
"1988","Giallo",1997,2038,1639,7
"1989","Guerra",1997,1036,723,3
"1990","Horror",1997,552,481,12
"1991","Musicale",1997,2001,1541,10
"1992","Muto",1997,2521,2359,1
"1993","Noir",1997,121,493,3
"1994","Poliziesco",1997,194,589,10
"1995","Religioso",1997,2437,1202,4
"1996","Sentimentale",1997,1456,949,20
"1997","Sitcom",1997,2512,718,1
"1998","Storico",1997,1425,1191,6
"1999","Thriller",1997,434,652,69
"2000","Western",1997,2207,2522,2
"2001","Animazione",1998,348,321,23
"2002","Arti-marziali",1998,694,523,1
"2003","Avventura",1998,626,390,18
"2004","Azione",1998,221,549,36
"2005","Biografico",1998,399,268,5
"2006","Comico",1998,775,619,16
"2007","Commedia",1998,618,593,188
"2008","Commedia drammatica",1998,2510,1544,1
"2009","Documentario",1998,779,1315,24
"2010","Drammatico",1998,493,411,209
"2011","Episodi",1998,2089,2030,1
"2012","Erotico",1998,1507,8,1
"2013","Family",1998,1145,651,7
"2014","Fantascienza",1998,186,534,14
"2015","Fantastico",1998,2392,2360,1
"2016","Fantasy",1998,230,279,14
"2017","Favola",1998,1048,319,2
"2018","Giallo",1998,158,1056,6
"2019","Grottesco",1998,1207,2515,1
"2020","Guerra",1998,7,236,4
"2021","Horror",1998,214,605,20
"2022","Musicale",1998,875,603,10
"2023","Noir",1998,1245,1002,3
"2024","Poliziesco",1998,598,891,10
"2025","Religioso",1998,2330,1284,1
"2026","Sentimentale",1998,584,453,28
"2027","Storico",1998,1854,488,2
"2028","Thriller",1998,388,698,74
"2029","Western",1998,321,682,2
"2030","Animazione",1999,242,410,21
"2031","Avventura",1999,306,435,24
"2032","Azione",1999,25,345,26
"2033","Biografico",1999,426,848,8
"2034","Cofanetto",1999,2475,776,1
"2035","Comico",1999,1473,359,8
"2036","Commedia",1999,637,641,262
"2037","Docu-fiction",1999,2338,2000,1
"2038","Documentario",1999,1177,1772,47
"2039","Drammatico",1999,397,571,265
"2040","Erotico",1999,1772,964,3
"2041","Family",1999,1025,630,9
"2042","Fantascienza",1999,11,252,9
"2043","Fantastico",1999,9,2361,1
"2044","Fantasy",1999,534,602,13
"2045","Giallo",1999,1398,673,5
"2046","Guerra",1999,1723,1357,2
"2047","Horror",1999,316,397,20
"2048","Musicale",1999,968,484,8
"2049","Muto",1999,456,1893,1
"2050","Noir",1999,2182,1157,2
"2051","Poliziesco",1999,768,904,12
"2052","Psicologico",1999,494,265,1
"2053","Religioso",1999,1899,1858,3
"2054","Sentimentale",1999,488,717,27
"2055","Storico",1999,981,524,9
"2056","Thriller",1999,517,615,60
"2057","Western",1999,1208,2541,1
"2058","Animazione",2000,537,455,25
"2059","Avventura",2000,104,334,12
"2060","Azione",2000,54,264,29
"2061","Biografico",2000,1293,777,17
"2062","Comico",2000,1211,944,3
"2063","Commedia",2000,594,541,196
"2064","Documentario",2000,827,1804,126
"2065","Drammatico",2000,599,595,292
"2066","Erotico",2000,1271,249,4
"2067","Family",2000,901,610,9
"2068","Fantascienza",2000,149,437,12
"2069","Fantasy",2000,152,433,12
"2070","Giallo",2000,74,352,13
"2071","Guerra",2000,662,794,6
"2072","Horror",2000,431,526,24
"2073","Musicale",2000,1785,1007,11
"2074","Muto",2000,2457,1353,2
"2075","Noir",2000,933,857,2
"2076","Poliziesco",2000,154,449,17
"2077","Religioso",2000,1991,344,1
"2078","Sentimentale",2000,624,582,37
"2079","Storico",2000,29,195,8
"2080","Thriller",2000,170,507,62
"2081","Western",2000,255,538,2
"2082","Animazione",2001,268,284,21
"2083","Avventura",2001,73,234,28
"2084","Azione",2001,244,406,49
"2085","Biografico",2001,1728,893,18
"2086","Comico",2001,2380,611,2
"2087","Commedia",2001,555,627,230
"2088","Commedia a episodi",2001,2528,1062,1
"2089","Documentario",2001,1582,1568,67
"2090","Drammatico",2001,597,532,328
"2091","Erotico",2001,2008,96,3
"2092","Family",2001,705,667,12
"2093","Fantascienza",2001,46,340,16
"2094","Fantasy",2001,42,210,19
"2095","Favola",2001,1315,261,1
"2096","Giallo",2001,253,497,8
"2097","Guerra",2001,89,291,14
"2098","Horror",2001,513,618,28
"2099","Musicale",2001,424,355,14
"2100","Noir",2001,347,454,3
"2101","Poliziesco",2001,676,705,14
"2102","Religioso",2001,2381,2438,1
"2103","Sentimentale",2001,544,503,67
"2104","Storico",2001,1174,662,15
"2105","Thriller",2001,310,487,84
"2106","Western",2001,1173,823,4
"2107","Animazione",2002,556,560,30
"2108","Avventura",2002,151,262,33
"2109","Azione",2002,188,384,69
"2110","Biografico",2002,147,407,18
"2111","Comico",2002,2393,841,2
"2112","Commedia",2002,615,632,191
"2113","Documentario",2002,1215,1309,85
"2114","Drammatico",2002,579,670,381
"2115","Erotico",2002,1538,381,2
"2116","Eventi",2002,1481,1923,1
"2117","Family",2002,499,425,17
"2118","Fantascienza",2002,298,520,30
"2119","Fantasy",2002,62,263,21
"2120","Giallo",2002,657,648,14
"2121","Guerra",2002,568,504,12
"2122","Horror",2002,258,424,24
"2123","Musicale",2002,917,1178,30
"2124","Noir",2002,2162,1572,6
"2125","Poliziesco",2002,263,574,26
"2126","Sentimentale",2002,653,638,85
"2127","Storico",2002,1704,628,7
"2128","Thriller",2002,237,429,99
"2129","Western",2002,2432,1304,2
"2130","Animazione",2003,278,456,25
"2131","Avventura",2003,21,235,27
"2132","Azione",2003,99,314,56
"2133","Biografico",2003,1646,801,13
"2134","Comico",2003,2447,2362,1
"2135","Commedia",2003,437,533,173
"2136","Documentario",2003,1191,1462,104
"2137","Drammatico",2003,642,631,339
"2138","Erotico",2003,2422,17,2
"2139","Family",2003,760,371,21
"2140","Fantascienza",2003,72,274,17
"2141","Fantasy",2003,48,242,16
"2142","Favola",2003,2097,2363,1
"2143","Giallo",2003,833,588,7
"2144","Guerra",2003,994,479,6
"2145","Horror",2003,339,323,28
"2146","Musicale",2003,1112,981,15
"2147","Noir",2003,1140,1901,3
"2148","Poliziesco",2003,678,392,12
"2149","Sentimentale",2003,738,572,54
"2150","Storico",2003,1397,313,5
"2151","Thriller",2003,266,416,73
"2152","Western",2003,479,474,3
"2153","Animazione",2004,325,442,29
"2154","Avventura",2004,260,329,49
"2155","Azione",2004,179,297,74
"2156","Biografico",2004,322,225,14
"2157","Comico",2004,109,800,3
"2158","Commedia",2004,312,417,167
"2159","Commedia drammatica",2004,2397,2364,1
"2160","Documentario",2004,1556,1634,184
"2161","Drammatico",2004,536,558,369
"2162","Erotico",2004,1041,272,3
"2163","Family",2004,777,353,11
"2164","Fantascienza",2004,365,478,21
"2165","Fantasy",2004,198,259,30
"2166","Favola",2004,2382,1531,1
"2167","Giallo",2004,458,401,7
"2168","Guerra",2004,309,495,14
"2169","Horror",2004,287,415,47
"2170","Musicale",2004,529,423,17
"2171","Noir",2004,2084,1851,1
"2172","Poliziesco",2004,580,501,12
"2173","Religioso",2004,22,119,1
"2174","Sentimentale",2004,283,373,63
"2175","Storico",2004,356,153,12
"2176","Thriller",2004,207,441,83
"2177","Western",2004,1004,807,3
"2178","Animazione",2005,429,583,25
"2179","Avventura",2005,236,333,38
"2180","Azione",2005,88,308,62
"2181","Balletto",2005,2383,2503,1
"2182","Biografico",2005,530,508,17
"2183","Comico",2005,1740,2544,2
"2184","Commedia",2005,474,448,202
"2185","Documentario",2005,825,1261,220
"2186","Drammatico",2005,635,639,367
"2187","Erotico",2005,1329,21,3
"2188","Family",2005,766,529,19
"2189","Fantascienza",2005,53,282,17
"2190","Fantasy",2005,209,281,21
"2191","Giallo",2005,1783,1836,11
"2192","Guerra",2005,232,332,5
"2193","Horror",2005,418,395,47
"2194","Musicale",2005,851,719,18
"2195","Muto",2005,2384,2365,1
"2196","Noir",2005,781,1131,1
"2197","Poliziesco",2005,510,573,12
"2198","Sentimentale",2005,643,515,39
"2199","Storico",2005,463,326,10
"2200","Thriller",2005,262,451,102
"2201","Western",2005,462,679,3
"2202","Animazione",2006,533,476,49
"2203","Avventura",2006,190,354,35
"2204","Azione",2006,163,341,61
"2205","Biografico",2006,1210,987,34
"2206","Comico",2006,421,925,7
"2207","Commedia",2006,545,542,206
"2208","Commedia a episodi",2006,2408,2366,1
"2209","Commedia sentimentale",2006,2489,2367,1
"2210","Documentario",2006,1606,1637,202
"2211","Drammatico",2006,601,599,433
"2212","Erotico",2006,690,134,3
"2213","Family",2006,970,868,10
"2214","Fantascienza",2006,427,579,22
"2215","Fantastico",2006,2236,1784,1
"2216","Fantasy",2006,185,396,19
"2217","Favola",2006,2385,2368,1
"2218","Giallo",2006,734,706,9
"2219","Guerra",2006,489,531,13
"2220","Horror",2006,453,460,71
"2221","Musicale",2006,1084,1015,18
"2222","Noir",2006,1932,1113,2
"2223","Poliziesco",2006,603,899,8
"2224","Religioso",2006,1819,601,3
"2225","Sentimentale",2006,512,678,60
"2226","Spionaggio",2006,2331,1068,1
"2227","Sportivo",2006,1,1716,1
"2228","Storico",2006,748,376,9
"2229","Thriller",2006,227,339,101
"2230","Western",2006,1017,906,5
"2231","Animazione",2007,343,368,41
"2232","Arti-marziali",2007,2400,1196,1
"2233","Avventura",2007,172,298,33
"2234","Azione",2007,193,337,58
"2235","Biografico",2007,868,471,25
"2236","Comico",2007,684,919,2
"2237","Commedia",2007,532,394,205
"2238","Cortometraggio",2007,477,1063,1
"2239","Documentario",2007,1717,1289,224
"2240","Drammatico",2007,575,505,444
"2241","Erotico",2007,2126,130,4
"2242","Family",2007,1047,636,10
"2243","Fantascienza",2007,118,296,20
"2244","Fantasy",2007,202,305,22
"2245","Fiabesco",2007,2421,2439,1
"2246","Giallo",2007,1821,685,6
"2247","Guerra",2007,1360,852,3
"2248","Horror",2007,234,295,58
"2249","Musicale",2007,491,378,25
"2250","Noir",2007,902,461,5
"2251","Poliziesco",2007,448,578,11
"2252","Sentimentale",2007,810,500,45
"2253","Storico",2007,859,494,20
"2254","Thriller",2007,264,362,113
"2255","Western",2007,58,287,3
"2256","Animazione",2008,314,245,26
"2257","Arti-marziali",2008,794,306,2
"2258","Avventura",2008,142,212,45
"2259","Azione",2008,31,172,55
"2260","Biografico",2008,439,400,23
"2261","Comico",2008,455,219,3
"2262","Commedia",2008,435,315,214
"2263","Cortometraggio",2008,2332,2096,1
"2264","Documentario",2008,1238,810,75
"2265","Drammatico",2008,535,300,353
"2266","Family",2008,855,303,16
"2267","Fantascienza",2008,210,237,22
"2268","Fantastico",2008,129,715,2
"2269","Fantasy",2008,49,169,25
"2270","Giallo",2008,1142,649,8
"2271","Guerra",2008,341,251,13
"2272","Horror",2008,307,211,44
"2273","Musicale",2008,648,309,21
"2274","Muto",2008,259,438,1
"2275","Noir",2008,1745,458,3
"2276","Parodia",2008,1367,947,2
"2277","Poliziesco",2008,867,748,15
"2278","Ragazzi",2008,2469,2369,1
"2279","Religioso",2008,2414,745,1
"2280","Sentimentale",2008,486,289,48
"2281","Storico",2008,407,246,11
"2282","Thriller",2008,272,255,91
"2283","Western",2008,351,213,2
"2284","Animazione",2009,111,106,24
"2285","Avventura",2009,47,59,36
"2286","Azione",2009,123,116,75
"2287","Biografico",2009,228,142,26
"2288","Comico",2009,845,243,6
"2289","Commedia",2009,377,181,177
"2290","Commedia drammatica",2009,2211,1069,1
"2291","Cortometraggio",2009,2226,2370,1
"2292","Documentario",2009,929,280,36
"2293","Drammatico",2009,516,187,260
"2294","Erotico",2009,2531,43,1
"2295","Family",2009,420,98,17
"2296","Fantascienza",2009,91,85,44
"2297","Fantasy",2009,208,122,23
"2298","Giallo",2009,385,231,16
"2299","Guerra",2009,56,131,10
"2300","Horror",2009,304,167,56
"2301","Musicale",2009,423,179,11
"2302","Muto",2009,419,2440,1
"2303","Noir",2009,271,111,5
"2304","Parodia",2009,1594,254,3
"2305","Poliziesco",2009,329,240,16
"2306","Sentimentale",2009,346,171,51
"2307","Storico",2009,940,91,12
"2308","Thriller",2009,218,139,126
"2309","Western",2009,1788,361,2
"2310","Animazione",2010,65,14,21
"2311","Arti-marziali",2010,281,294,2
"2312","Avventura",2010,75,13,39
"2313","Azione",2010,124,32,71
"2314","Balletto",2010,1809,1292,1
"2315","Biografico",2010,140,76,17
"2316","Commedia",2010,342,52,173
"2317","Documentario",2010,924,221,38
"2318","Drammatico",2010,389,95,254
"2319","Family",2010,197,20,20
"2320","Fantascienza",2010,15,24,15
"2321","Fantasy",2010,126,4,24
"2322","Giallo",2010,1261,147,5
"2323","Guerra",2010,1860,2371,2
"2324","Horror",2010,496,46,38
"2325","Musicale",2010,416,35,17
"2326","Parodia",2010,519,11,2
"2327","Poliziesco",2010,175,61,12
"2328","Sentimentale",2010,323,62,64
"2329","Storico",2010,222,42,18
"2330","Thriller",2010,150,30,94
"2331","Western",2010,167,77,5
"2332","Animazione",2011,159,15,30
"2333","Avventura",2011,55,9,46
"2334","Azione",2011,115,18,85
"2335","Biografico",2011,557,148,14
"2336","Comico",2011,567,1,3
"2337","Commedia",2011,384,31,195
"2338","Documentario",2011,1340,158,38
"2339","Drammatico",2011,446,124,283
"2340","Erotico",2011,805,197,2
"2341","Family",2011,671,29,24
"2342","Fantascienza",2011,78,27,40
"2343","Fantasy",2011,105,3,26
"2344","Giallo",2011,201,49,9
"2345","Guerra",2011,328,100,4
"2346","Horror",2011,332,36,48
"2347","Musicale",2011,184,40,15
"2348","Noir",2011,2145,109,3
"2349","Parodia",2011,1265,12,2
"2350","Poliziesco",2011,470,299,12
"2351","Sentimentale",2011,305,50,53
"2352","Storico",2011,508,71,11
"2353","Thriller",2011,296,55,120
"2354","Western",2011,1090,69,2
"2355","Animazione",2012,87,25,22
"2356","Arti-marziali",2012,459,143,2
"2357","Avventura",2012,33,23,46
"2358","Azione",2012,85,53,89
"2359","Biografico",2012,450,112,17
"2360","Comico",2012,1024,22,5
"2361","Commedia",2012,354,87,186
"2362","Documentario",2012,1249,258,41
"2363","Drammatico",2012,315,110,264
"2364","Family",2012,480,56,15
"2365","Fantascienza",2012,40,45,27
"2366","Fantasy",2012,26,6,20
"2367","Giallo",2012,317,206,8
"2368","Guerra",2012,465,101,4
"2369","Horror",2012,349,68,46
"2370","Musicale",2012,277,86,14
"2371","Noir",2012,2022,363,3
"2372","Poliziesco",2012,148,239,6
"2373","Religioso",2012,1571,1197,1
"2374","Sentimentale",2012,261,82,47
"2375","Storico",2012,364,99,7
"2376","Thriller",2012,203,84,128
"2377","Animazione",2013,200,34,29
"2378","Avventura",2013,60,28,54
"2379","Azione",2013,97,54,102
"2380","Biografico",2013,334,107,25
"2381","Comico",2013,1396,2,2
"2382","Commedia",2013,335,73,153
"2383","Documentario",2013,1095,226,50
"2384","Drammatico",2013,366,141,289
"2385","Family",2013,515,88,30
"2386","Fantascienza",2013,68,48,37
"2387","Fantasy",2013,38,19,25
"2388","Giallo",2013,695,391,12
"2389","Guerra",2013,229,183,4
"2390","Horror",2013,254,120,44
"2391","Musicale",2013,730,92,15
"2392","Noir",2013,2502,293,2
"2393","Parodia",2013,645,26,2
"2394","Poliziesco",2013,219,105,12
"2395","Sentimentale",2013,680,174,49
"2396","Storico",2013,345,316,11
"2397","Thriller",2013,273,151,148
"2398","Western",2013,4,5,4
"2399","Animazione",2014,286,81,29
"2400","Avventura",2014,143,60,43
"2401","Azione",2014,86,83,94
"2402","Biografico",2014,289,113,31
"2403","Comico",2014,2285,47,2
"2404","Commedia",2014,490,154,193
"2405","Commedia sentimentale",2014,753,327,1
"2406","Documentario",2014,956,325,44
"2407","Drammatico",2014,408,159,323
"2408","Erotico",2014,192,121,3
"2409","Family",2014,682,157,31
"2410","Fantascienza",2014,19,38,28
"2411","Fantasy",2014,63,44,26
"2412","Favola",2014,2039,2372,1
"2413","Giallo",2014,778,253,10
"2414","Guerra",2014,114,74,9
"2415","Horror",2014,441,137,30
"2416","Musicale",2014,665,199,20
"2417","Muto",2014,903,2373,1
"2418","Noir",2014,436,312,4
"2419","Poliziesco",2014,205,205,4
"2420","Religioso",2014,2251,421,1
"2421","Sentimentale",2014,460,166,70
"2422","Storico",2014,561,65,10
"2423","Thriller",2014,248,163,118
"2424","Western",2014,288,290,4
"2425","Animazione",2015,265,72,31
"2426","Arti-marziali",2015,527,288,2
"2427","Avventura",2015,80,51,55
"2428","Azione",2015,127,78,85
"2429","Biografico",2015,402,149,42
"2430","Comico",2015,1192,37,4
"2431","Commedia",2015,560,145,171
"2432","Documentario",2015,1212,347,83
"2433","Drammatico",2015,481,178,345
"2434","Erotico",2015,162,10,2
"2435","Family",2015,640,97,31
"2436","Fantascienza",2015,67,79,22
"2437","Fantasy",2015,71,39,28
"2438","Giallo",2015,2221,202,10
"2439","Guerra",2015,612,230,12
"2440","Horror",2015,340,208,30
"2441","Musicale",2015,611,214,20
"2442","Noir",2015,1867,182,3
"2443","Parodia",2015,983,129,2
"2444","Poliziesco",2015,1752,767,1
"2445","Sentimentale",2015,558,161,72
"2446","Storico",2015,378,66,14
"2447","Thriller",2015,284,155,126
"2448","Western",2015,30,33,7
"2449","Animazione",2016,246,89,41
"2450","Avventura",2016,119,70,61
"2451","Azione",2016,131,103,87
"2452","Biografico",2016,677,196,53
"2453","Comico",2016,1308,58,6
"2454","Commedia",2016,466,108,188
"2455","Documentario",2016,993,427,84
"2456","Drammatico",2016,514,193,342
"2457","Family",2016,324,93,36
"2458","Fantascienza",2016,43,63,21
"2459","Fantasy",2016,35,41,32
"2460","Giallo",2016,1753,419,17
"2461","Guerra",2016,373,138,14
"2462","Horror",2016,400,186,39
"2463","Musicale",2016,370,104,25
"2464","Noir",2016,84,173,2
"2465","Parodia",2016,936,94,1
"2466","Poliziesco",2016,2470,527,1
"2467","Sentimentale",2016,523,170,77
"2468","Storico",2016,398,229,18
"2469","Thriller",2016,425,185,146
"2470","Western",2016,161,125,2
"2471","Animazione",2017,686,80,32
"2472","Avventura",2017,139,75,41
"2473","Azione",2017,132,114,80
"2474","Biografico",2017,320,217,51
"2475","Comico",2017,1944,135,3
"2476","Commedia",2017,654,156,189
"2477","Docu-fiction",2017,2386,343,1
"2478","Documentario",2017,870,386,73
"2479","Documentario musicale",2017,2444,958,1
"2480","Drammatico",2017,592,191,322
"2481","Erotico",2017,276,7,1
"2482","Family",2017,667,67,30
"2483","Fantascienza",2017,133,102,25
"2484","Fantasy",2017,81,64,32
"2485","Giallo",2017,885,180,22
"2486","Guerra",2017,224,144,11
"2487","Horror",2017,412,123,49
"2488","Musicale",2017,564,118,19
"2489","Noir",2017,2135,184,4
"2490","Parodia",2017,2476,127,1
"2491","Poliziesco",2017,1459,247,4
"2492","Religioso",2017,2420,207,1
"2493","Sentimentale",2017,638,168,72
"2494","Storico",2017,483,218,14
"2495","Thriller",2017,413,162,156
"2496","Western",2017,428,176,4
"2497","Animazione",2018,724,175,32
"2498","Avventura",2018,270,115,51
"2499","Azione",2018,252,132,84
"2500","Biografico",2018,752,198,39
"2501","Comico",2018,1793,152,2
"2502","Commedia",2018,847,194,176
"2503","Commedia drammatica",2018,2256,2374,1
"2504","Documentario",2018,1762,328,60
"2505","Drammatico",2018,796,228,251
"2506","Erotico",2018,541,16,1
"2507","Family",2018,739,128,27
"2508","Fantascienza",2018,239,140,37
"2509","Fantasy",2018,338,90,31
"2510","Giallo",2018,1769,412,5
"2511","Guerra",2018,621,220,2
"2512","Horror",2018,506,150,42
"2513","Musicale",2018,651,136,22
"2514","Noir",2018,963,203,5
"2515","Poliziesco",2018,2438,1717,2
"2516","Religioso",2018,1225,57,1
"2517","Sentimentale",2018,789,177,43
"2518","Storico",2018,1114,192,12
"2519","Thriller",2018,578,209,135
"2520","Western",2018,811,277,5
"2521","Animazione",2019,2028,2111,18
"2522","Avventura",2019,2177,2395,33
"2523","Azione",2019,1269,1434,35
"2524","Biografico",2019,2289,1501,9
"2525","Commedia",2019,1861,1854,30
"2526","Commedia drammatica",2019,2540,2375,1
"2527","Documentario",2019,2353,2400,3
"2528","Drammatico",2019,1660,1914,41
"2529","Family",2019,2103,2391,9
"2530","Fantascienza",2019,2195,2057,14
"2531","Fantasy",2019,720,2389,8
"2532","Guerra",2019,2471,2441,1
"2533","Horror",2019,1247,2066,16
"2534","Musicale",2019,2411,2376,3
"2535","Noir",2019,2415,2377,1
"2536","Sentimentale",2019,2405,2401,5
"2537","Thriller",2019,1394,1247,27
"2538","Western",2019,2518,2378,1
"2539","Animazione",2020,2333,2379,1
"2540","Avventura",2020,2343,2442,2
"2541","Azione",2020,2472,2380,1
"2542","Commedia",2020,2416,2381,1
"2543","Drammatico",2020,2435,2472,2
"2544","Family",2020,2395,2382,2
"2545","Fantasy",2020,2387,2383,1
"2546","Musicale",2020,2481,2384,1
